RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
64,Aaron Ekblad,N,D,25,FLA,30,$6.1,404.3,5.3,81.5,12.2,136.0,72.0,, ,76,22.9,8,31,39,164,2,12,0,1,104,115,5,60,1,0,0,0%,,,,,,,,,,
566,Aatu Raty,,C,146,VAN,23,$0.8,245.9,4.2,-266.8,-40.0,—,N/A,, ,59,12.3,12,10,22,71,0,0,0,0,19,125,0,22,2,383,288,57%,,,,,,,,,,
615,Adam Edstrom,N,C,178,NYR,25,$1.0,195.4,3.3,-317.3,-47.6,—,N/A,, ,60,10.7,7,7,14,56,0,0,0,0,38,118,1,19,1,0,5,0%,,,,,,,,,,
267,Adam Fantilli,N,C,50,CBJ,21,$1.0,445.6,5.9,-67.1,-10.1,—,N/A,,+,76,17.9,30,28,58,190,3,7,0,1,50,100,-3,24,4,393,544,42%,,,,,,,,,,
13,Adam Fox,N,D,6,NYR,28,$9.5,535.7,6.8,212.9,31.9,66.0,53.0,,+,79,24.7,14,59,73,159,3,26,0,1,132,53,6,39,2,0,0,0%,,,,,,,,,,
540,Adam Gaudette,N,"C,RW",143,S.J,29,$2.0,254.0,3.8,-244.1,-36.6,—,N/A,, ,67,13.8,17,11,28,99,3,4,0,0,32,78,-4,20,2,188,193,49%,,,,,,,,,,
493,Adam Henrique,N,"C,LW",122,EDM,36,$3.0,276.8,3.5,-204.8,-30.7,—,N/A,, ,80,14.2,13,15,28,106,2,4,1,1,71,67,6,21,2,489,422,54%,,,,,,,,,,
580,Adam Klapka,N,RW,159,CGY,25,$1.3,222.0,4.0,-276.1,-41.4,—,N/A,, ,55,9.5,8,6,14,67,0,0,0,0,35,153,-3,22,1,9,20,32%,,,,,,,,,,
183,Adam Larsson,N,D,72,SEA,33,$5.3,303.0,3.7,-19.8,-3.0,—,N/A,, ,82,21.4,5,18,23,117,0,0,0,0,149,122,-4,39,1,0,0,0%,,,,,,,,,,
436,Adam Lowry,N,C,88,WPG,33,$3.3,349.9,4.4,-162.8,-24.4,—,N/A,, ,80,15.4,14,20,34,114,0,0,1,1,62,148,5,40,3,645,635,50%,,,,,,,,,,
251,Adam Pelech,N,D,111,NYI,31,$5.8,265.6,3.7,-57.2,-8.6,—,N/A,, ,73,21.3,3,20,23,120,0,0,0,1,120,83,-1,39,0,0,0,0%,,,,,,,,,,
107,Adin Hill,N,G,9,VGK,29,$6.3,244.3,4.5,39.3,5.9,70.0,-37.0,, ,,,,,,,,,,,,,,,,,,,,54,32,16,5,4,"1,374",139,0.908,2.57
47,Adrian Kempe,N,RW,11,L.A,29,$5.5,592.6,7.3,94.5,14.2,50.0,3.0,, ,81,19.6,34,41,75,249,7,20,1,1,37,104,4,47,5,9,18,35%,,,,,,,,,,
337,Akira Schmid,N,G,49,VGK,25,$0.9,99.7,4.2,-105.3,-15.8,—,N/A,, ,,,,,,,,,,,,,,,,,,,,24,14,8,3,1,606,67,0.901,2.78
395,Albert Johansson,N,D,171,DET,25,$1.1,189.7,2.6,-133.1,-20.0,—,N/A,, ,73,16.7,4,10,14,62,0,0,0,0,99,85,-3,27,1,0,0,0%,,,,,,,,,,
42,Aleksander Barkov,N,C,10,FLA,30,$10.0,614.6,7.9,101.9,15.3,37.0,-5.0,, ,77,20.1,24,56,80,189,7,28,1,3,57,97,8,22,4,687,532,56%,,,,,,,,,,
271,Alex Carrier,N,D,124,MTL,29,$3.8,252.0,3.3,-70.8,-10.6,—,N/A,, ,76,20.2,4,18,22,82,0,0,0,1,155,78,-1,43,1,0,0,0%,,,,,,,,,,
113,Alex Debrincat,N,"LW,RW",29,DET,28,$7.9,517.0,6.3,35.4,5.3,67.0,-46.0,, ,82,17.9,31,36,67,239,11,24,0,0,38,49,-2,31,5,23,27,46%,,,,,,,,,,
522,Alex Iafallo,N,"C,LW,RW",136,WPG,32,$3.7,256.8,3.2,-224.8,-33.7,—,N/A,, ,80,14.5,11,16,27,114,2,4,0,0,63,59,5,17,2,11,14,43%,,,,,,,,,,
532,Alex Kerfoot,N,"C,LW,RW",140,UTA,31,$3.0,242.3,3.0,-239.4,-35.9,—,N/A,, ,82,14.4,10,18,27,99,0,1,1,2,63,65,-1,22,1,228,238,49%,,,,,,,,,,
500,Alex Killorn,N,"C,LW,RW",126,ANA,36,$6.2,272.3,3.4,-209.4,-31.4,—,N/A,, ,79,15.6,16,17,32,123,1,2,1,1,27,73,-3,35,2,8,11,41%,,,,,,,,,,
357,Alex Laferriere,N,RW,66,L.A,24,$4.1,382.1,4.7,-116.0,-17.4,—,N/A,, ,81,15.1,18,21,39,183,2,5,0,0,40,115,3,32,3,36,46,44%,,,,,,,,,,
289,Alex Lyon,N,G,40,BUF,32,$1.5,122.7,4.1,-82.4,-12.3,—,N/A,, ,,,,,,,,,,,,,,,,,,,,30,15,11,4,2,795,86,0.902,2.87
292,Alex Nedeljkovic,N,G,41,S.J,29,$2.5,119.6,3.7,-85.5,-12.8,—,N/A,, ,,,,,,,,,,,,,,,,,,,,32,12,15,5,1,898,98,0.901,3.08
531,Alex Newhook,N,C,128,MTL,25,$2.9,274.1,3.5,-238.6,-35.8,—,N/A,, ,78,14.9,16,16,33,112,1,4,0,0,34,75,-1,25,3,232,301,44%,,,,,,,,,,
55,Alex Ovechkin,N,"LW,RW",18,WSH,40,$9.5,569.7,7.3,88.0,13.2,36.0,-19.0,,-,78,17.8,35,29,63,258,12,23,0,0,22,131,0,25,6,0,3,12%,,,,,,,,,,
105,Alex Romanov,N,D,44,NYI,26,$6.3,362.6,4.6,39.8,6.0,—,N/A,, ,78,22.6,6,21,27,123,0,0,0,1,180,156,-2,33,1,0,0,0%,,,,,,,,,,
162,Alex Tuch,N,RW,37,BUF,29,$4.8,495.7,6.2,-2.4,-0.4,145.0,-17.0,, ,80,18.9,30,34,64,197,3,11,3,4,94,72,2,40,4,65,93,41%,,,,,,,,,,
577,Alex Turcotte,N,"C,LW",155,L.A,25,$0.8,206.1,3.1,-275.5,-41.3,—,N/A,, ,67,11.3,9,16,25,78,1,1,0,0,32,58,2,21,1,55,65,45%,,,,,,,,,,
243,Alex Vlasic,N,D,106,CHI,24,$4.6,267.7,3.3,-55.1,-8.3,—,N/A,, ,80,23.6,4,22,26,99,0,4,0,0,157,64,-10,27,1,0,0,0%,,,,,,,,,,
