RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
1,Nathan MacKinnon,Y,C,1,COL,30,$12.6,885.2,10.6,529.6,42.4,2.4,1.4,, ,83,22.0,46,78,123,351,10,34,0,0,45,58,14,34,8,684,699,49%,,,,,,,,,,
2,Connor McDavid,Y,C,2,EDM,29,$12.5,879.6,10.8,524.0,41.9,1.5,-0.5,, ,81,22.0,40,91,131,283,12,51,0,0,29,48,10,38,7,439,453,49%,,,,,,,,,,
3,Macklin Celebrini,Y,C,3,S.J,20,$1.0,798.1,9.8,442.4,35.4,7.4,4.4,,+,82,21.4,44,68,112,295,10,34,0,0,56,53,-1,42,6,627,667,48%,,,,,,,,,,
4,Nikita Kucherov,Y,RW,1,T.B,33,$9.5,840.4,10.2,422.3,33.8,4.1,0.1,, ,82,20.3,41,86,127,257,9,44,0,0,34,37,13,35,7,1,2,30%,,,,,,,,,,
5,Auston Matthews,Y,C,5,TOR,28,$13.3,765.0,9.8,409.4,32.7,17.1,12.1,,+,78,20.6,44,45,89,312,12,27,0,0,88,57,4,23,6,726,550,57%,,,,,,,,,,
6,Leon Draisaitl,Y,"C,LW",1,EDM,30,$14.0,779.4,9.8,368.3,29.5,6.6,0.6,, ,79,21.1,45,66,112,233,19,46,0,0,24,39,9,40,8,750,588,56%,,,,,,,,,,
7,Jack Eichel,Y,C,6,VGK,29,$13.5,711.5,8.9,355.9,28.5,23.0,16.0,, ,80,21.4,32,66,98,285,6,35,1,2,49,37,8,21,6,596,685,46%,,,,,,,,,,
8,Nick Suzuki,Y,C,7,MTL,27,$7.9,702.0,8.4,346.4,27.7,12.1,4.1,, ,84,20.8,31,64,95,190,9,36,1,1,64,64,7,24,5,742,704,51%,,,,,,,,,,
9,David Pastrnak,Y,RW,2,BOS,30,$11.3,763.0,9.2,344.9,27.6,9.5,0.5,, ,83,20.6,37,68,105,304,10,30,0,0,32,80,1,46,5,4,8,30%,,,,,,,,,,
10,Cale Makar,Y,D,1,COL,27,$9.0,729.9,8.9,338.9,27.1,7.3,-2.7,, ,82,25.3,22,64,86,226,7,34,1,1,132,52,10,25,4,0,0,0%,,,,,,,,,,
11,Aleksander Barkov,Y,C,10,FLA,30,$10.0,671.1,8.4,315.5,25.2,52.4,41.4,, ,79,20.5,25,57,82,200,8,31,1,3,58,98,6,28,4,704,534,57%,,,,,,,,,,
12,Matt Boldy,Y,"LW,RW",3,MIN,25,$7.0,732.0,8.9,313.9,25.1,20.9,8.9,,+,82,21.5,41,52,92,287,11,30,2,2,65,63,6,46,7,60,75,45%,,,,,,,,,,
13,Jason Robertson,Y,"LW,RW",4,DAL,27,$12.0,724.6,8.6,306.5,24.5,13.3,0.3,, ,84,20.2,41,54,95,283,13,35,0,0,39,56,9,30,7,1,4,27%,,,,,,,,,,
14,Evan Bouchard,Y,D,2,EDM,26,$10.5,696.3,8.3,305.3,24.4,18.9,4.9,, ,84,24.9,18,66,84,228,6,35,0,1,115,44,9,36,3,0,0,0%,,,,,,,,,,
15,Zach Werenski,Y,D,3,CBJ,29,$9.6,693.8,8.5,302.8,24.2,17.1,2.1,, ,81,27.1,21,62,83,281,5,25,0,1,118,36,5,30,3,0,0,0%,,,,,,,,,,
16,Kirill Kaprizov,Y,LW,4,MIN,29,$17.0,709.7,9.2,298.6,23.9,10.9,-5.1,,+,77,22.1,46,51,97,272,17,33,0,0,30,49,6,33,8,0,2,0%,,,,,,,,,,
17,Moritz Seider,N,D,4,DET,25,$8.6,688.0,8.2,297.0,23.8,55.9,38.9,, ,84,25.9,11,48,59,186,4,28,0,0,181,145,2,54,2,0,0,0%,,,,,,,,,,
18,Quinn Hughes,Y,D,5,MIN,26,$7.9,681.7,8.4,290.7,23.3,14.1,-3.9,, ,81,27.7,15,76,91,216,4,37,0,0,98,21,6,37,2,0,0,0%,,,,,,,,,,
19,Sidney Crosby,Y,C,13,PIT,39,$8.7,645.5,7.9,289.9,23.2,52.6,33.6,, ,81,19.4,33,52,85,214,11,26,0,0,37,70,1,37,5,973,743,57%,,,,,,,,,,
