RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
1,Nathan MacKinnon,Y,C,1,COL,30,$12.6,548.1,6.6,219.5,17.6,2.4,1.4,, ,83,22.0,46,78,123,351,10,34,0,0,45,58,14,34,8,684,699,49%,,,,,,,,,,
2,Connor McDavid,Y,C,2,EDM,29,$12.5,526.8,6.5,198.3,15.9,1.5,-0.5,, ,81,22.0,40,91,131,283,12,51,0,0,29,48,10,38,7,439,453,49%,,,,,,,,,,
3,Cale Makar,Y,D,1,COL,27,$9.0,419.0,5.1,175.2,14.0,7.3,4.3,, ,82,25.3,22,64,86,226,7,34,1,1,132,52,10,25,4,0,0,0%,,,,,,,,,,
4,Zach Werenski,Y,D,2,CBJ,29,$9.6,415.4,5.1,171.5,13.7,17.1,13.1,, ,81,27.1,21,62,83,281,5,25,0,1,118,36,5,30,3,0,0,0%,,,,,,,,,,
5,Nikita Kucherov,Y,RW,1,T.B,33,$9.5,501.3,6.1,166.5,13.3,4.1,-0.9,, ,82,20.3,41,86,127,257,9,44,0,0,34,37,13,35,7,1,2,30%,,,,,,,,,,
6,Macklin Celebrini,Y,C,3,S.J,20,$1.0,488.5,6.0,160.0,12.8,7.4,1.4,,+,82,21.4,44,68,112,295,10,34,0,0,56,53,-1,42,6,627,667,48%,,,,,,,,,,
7,Evan Bouchard,Y,D,3,EDM,26,$10.5,402.1,4.8,158.2,12.7,18.9,11.9,, ,84,24.9,18,66,84,228,6,35,0,1,115,44,9,36,3,0,0,0%,,,,,,,,,,
8,Auston Matthews,Y,C,4,TOR,28,$13.3,483.8,6.2,155.2,12.4,17.1,9.1,,+,78,20.6,44,45,89,312,12,27,0,0,88,57,4,23,6,726,550,57%,,,,,,,,,,
9,Quinn Hughes,Y,D,4,MIN,26,$7.9,392.4,4.9,148.5,11.9,14.1,5.1,, ,81,27.7,15,76,91,216,4,37,0,0,98,21,6,37,2,0,0,0%,,,,,,,,,,
10,Leon Draisaitl,Y,"C,LW",1,EDM,30,$14.0,476.4,6.0,147.7,11.8,6.6,-3.4,, ,79,21.1,45,66,112,233,19,46,0,0,24,39,9,40,8,750,588,56%,,,,,,,,,,
11,Rasmus Dahlin,Y,D,5,BUF,26,$11.0,386.9,4.8,143.1,11.4,35.8,24.8,,+ +,81,24.2,22,56,78,219,7,25,0,0,100,84,6,61,3,0,0,0%,,,,,,,,,,
12,David Pastrnak,Y,RW,2,BOS,30,$11.3,474.6,5.7,139.8,11.2,9.5,-2.5,, ,83,20.6,37,68,105,304,10,30,0,0,32,80,1,46,5,4,8,30%,,,,,,,,,,
13,Moritz Seider,N,D,6,DET,25,$8.6,381.2,4.5,137.3,11.0,55.9,42.9,, ,84,25.9,11,48,59,186,4,28,0,0,181,145,2,54,2,0,0,0%,,,,,,,,,,
